"Timestamp","Nombor Enumerator","Jantina","Umur","Bangsa","Negeri","Tahap Pendidikan","Adakah anda sedang menjalankan perniagaan?","Nama Syarikat Perniagaan","Jenis Pendaftaran Perniagaan","Bidang Perniagaan","Negeri","Anggaran Jualan Bulanan (Tahunan) Syarikat Semasa","Bahagian, Jabatan, dan Agensi di bawah KKDW pemberi manfaat (boleh lebih daripada 1 jawapan)","Jenis bantuan / kemudahan yang telah di terima  (boleh lebih daripada 1 jawapan)","Anggaran Jualan Bulanan (Tahunan) Syarikat Sebelum Menyertai Program Keusahawanan KKDW","Sejauh manakah anda bersetuju bahawa terdapat akses yang terhad kepada pembiayaan modal, infrastruktur, teknologi, peluang latihan, mentorship dan lain-lain?","Sejauh mana anda percaya bahawa terdapat jurang dalam pendidikan dan kemahiran di kalangan masyarakat kita seperti pembangunan kemahiran, dan keperluan pasaran dan industri?","Sejauh mana anda merasakan bahawa cabaran sosioekonomi seperti modal dan stigma masyarakat mempengaruhi peluang pembangunan peribadi?","Sejauh mana anda mengalami kesukaran dalam mendapatkan rangkaian (networking) yang mencukupi untuk perkembangan peribadi atau perniagaan anda?","Sejauh mana anda percaya bahawa masyarakat kita tidak mempunyai keupayaan bersaing dalam ekonomi global?","Sejauh mana anda menganggap bahawa halangan perundangan dan peraturan (regulasi) mempengaruhi perkembangan perniagaan atau aktiviti sosial?","Sejauh mana anda bersetuju bahawa kekurangan wira aspirasi (ikon / mentor / coach) merupakan cabaran utama dalam mencapai matlamat peribadi atau profesional?","Sejauh mana anda melihat kelestarian (sustainability) dan sistem sokongan komprehensif sebagai elemen penting dalam membangunkan komuniti usahawan?","Nyatakan isu-isu selain yang dinyatakan di atas (jika ada)","Sejauh manakah anda bersetuju bahawa program keusahawanan patut di uruskan dengan lebih sistematik merentasi agensi di bawah selian KKDW dan juga di kementerian lain, untuk mengelakkan sebarang bentuk duplikasi (program sama)?","Sejauh manakah anda percaya bahawa usaha penstrukturan semula patut di ambil terhadap fungsi dan peranan keusahawanan di setiap Bahagian, Jabatan, dan Agensi dalam KKDW?","Sejauh manakah anda bersetuju bahawa KKDW perlu menyediakan ruang serta sokongan kepada usahawan agar mampu bersaing dan maju dalam perniagaan?","Sejauh mana anda bersetuju bahawa KKDW patut memberikan penekanan kepada impak setiap program bagi memastikan hasil pelaburan (Return on Invesment) dikeluarkan kerajaan adalah setimpal.","Sila nyatakan pandangan dan cadangan anda bagi menambahbaik program keusahawanan di bawah KKDW."
"2023/11/22 10:58:40 am GMT+8","PUTRA05","Perempuan","25 - 54 tahun","Melayu","Kelantan","SPM","Ya","Kieysha jaya legacy","Milikan Tunggal (Enterprise)","Selain di atas","Kelantan","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","KESEDAR - Lembaga Kemajuan Kelantan Selatan","Selain di atas","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","4","3","3","3","3","4","3","3","","5","4","4","5",""
"2023/11/22 10:59:19 am GMT+8","PUTRA06","Lelaki","15 - 24 tahun","Melayu","Perak","Diploma","Ya","Muhd Sidqi Marketing","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Perak","Kurang RM2,000 sebulan (RM24,000 tahunan)","MARA- Majlis Amanah Rakyat;PPPNP - Perbadanan Pembangunan Pertanian Negeri Perak","Geran bantuan;Latihan sahaja;Promosi / pemasaran","Kurang RM2,000 sebulan (RM24,000 tahunan)","5","3","4","4","3","4","2","4","Bantuan modal terhad kepada skop yg terlalu kecil","4","4","5","5",""
"2023/11/22 11:01:17 am GMT+8","PUTRA05","Perempuan","25 - 54 tahun","Melayu","Kelantan","SPM","Ya","Hayati Yaakob","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Kelantan","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","KESEDAR - Lembaga Kemajuan Kelantan Selatan","Peralatan (in kind + latihan)","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","5","5","5","5","5","5","5","5","","5","5","5","5",""
"2023/11/22 11:02:34 am GMT+8","PUTRA09","Lelaki","25 - 54 tahun","Melayu","Kedah","SPM","Ya","LADANG ARNAB UMMI","Milikan Tunggal (Enterprise)","Selain di atas","Kedah","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","KEDA - Lembaga Kemajuah Wilayah Kedah","Selain di atas","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","4","3","4","2","2","4","4","3","","3","5","4","3",""
"2023/11/22 11:02:43 am GMT+8","PUTRA07","Perempuan","25 - 54 tahun","Melayu","Kedah","SPM","Ya","Ladang Arnab Ummi","Milikan Tunggal (Enterprise)","Selain di atas","Kedah","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","KEDA - Lembaga Kemajuah Wilayah Kedah","Selain di atas","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","4","4","4","4","5","3","4","4","","5","3","5","5",""
"2023/11/22 11:04:21 am GMT+8","PUTRA08","Perempuan","25 - 54 tahun","Melayu","Selangor","SPM","Ya","Warisan Mek Kelate","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Kelantan","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","KESEDAR - Lembaga Kemajuan Kelantan Selatan","Peralatan (in kind);Gerai / warung desa","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","2","2","2","2","2","3","2","3","","4","3","4","3","Memudahkan urusan supaya bantuan dapat disalurkan kepada peniaga peniaga"
"2023/11/22 11:07:22 am GMT+8","PUTRA05","Perempuan","25 - 54 tahun","Melayu","Kelantan","SPM","Ya","Syarifah yusof global","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Kelantan","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","KESEDAR - Lembaga Kemajuan Kelantan Selatan","Peralatan (in kind + latihan)","Kurang RM2,000 sebulan (RM24,000 tahunan)","5","3","4","2","3","3","3","4","","5","4","4","3",""
"2023/11/22 11:08:22 am GMT+8","PUTRA06","Lelaki","25 - 54 tahun","Melayu","Kelantan","Ijazah Sarjana Muda","Ya","Addawak galeri ent","Milikan Tunggal (Enterprise)","Pembuatan - Perabot, Kraftangan dll","Kelantan","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","4","3","4","3","3","3","3","3","","3","3","3","3",""
"2023/11/22 11:12:42 am GMT+8","PUTRA06","Lelaki","15 - 24 tahun","Melayu","Kelantan","Diploma","Tidak","","","","","","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Latihan sahaja;Perniagaan online","Kurang RM2,000 sebulan (RM24,000 tahunan)","4","4","4","3","4","3","3","4","","3","3","3","2",""
"2023/11/22 11:12:43 am GMT+8","PUTRA05","Perempuan","25 - 54 tahun","Melayu","Kelantan","Ijazah Sarjana Muda","Ya","Mazatulcr Enterprise","Milikan Tunggal (Enterprise)","Perkhidmatan - Kecantikan, Tatarias, Fesyen dll","Kelantan","Kurang RM2,000 sebulan (RM24,000 tahunan)","KESEDAR - Lembaga Kemajuan Kelantan Selatan","Peralatan (in kind + latihan)","Kurang RM2,000 sebulan (RM24,000 tahunan)","5","4","4","4","4","4","4","4","","5","5","5","5",""
"2023/11/22 11:14:03 am GMT+8","PUTRA10","Perempuan","55 - 64 tahun","Melayu","Negeri Sembilan","SPM","Ya","Jemari Ahlam Enterprise ","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Negeri Sembilan","Kurang RM2,000 sebulan (RM24,000 tahunan)","KEMAS - Jabatan Kemajuan Masyarakat","Selain di atas","Kurang RM2,000 sebulan (RM24,000 tahunan)","3","2","5","3","3","4","5","4","Pesaingan Yang mencabar","5","5","5","5","Diharapkan pihak agensi kerajaan sentiasa memberi pantauan kepada golongan IKS."
"2023/11/22 11:15:17 am GMT+8","PUTRA05","Perempuan","25 - 54 tahun","Melayu","Kelantan","Diploma","Ya","Siti Hasiah binti jusoh","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Kelantan","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","KESEDAR - Lembaga Kemajuan Kelantan Selatan","Peralatan (in kind + latihan)","Kurang RM2,000 sebulan (RM24,000 tahunan)","4","4","4","3","3","3","4","3","","4","4","4","3",""
"2023/11/22 11:15:23 am GMT+8","PUTRA06","Lelaki","25 - 54 tahun","Melayu","Johor","Ijazah Sarjana Muda","Ya","Nourifood","Perkongsian (Enterprise)","Makanan & Minuman (F&B)","Johor","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","MARA- Majlis Amanah Rakyat;RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah;KEJORA - Lembaga Kemajuan Johor Tenggara","Geran bantuan;Pinjaman (modal pusingan, aset, alatan);Peralatan (in kind);Peralatan (in kind + latihan);Latihan sahaja;Geran penyelidikan;Perniagaan online;Promosi / pemasaran;Packaging;Business matching","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","2","4","4","4","4","4","4","4","","4","3","4","5","Mentor dari industri masing2"
"2023/11/22 11:18:49 am GMT+8","PUTRA05","Perempuan","25 - 54 tahun","Melayu","Kelantan","SPM","Ya","Nur Azlidawati","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Kelantan","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","KESEDAR - Lembaga Kemajuan Kelantan Selatan","Peralatan (in kind + latihan)","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","5","4","4","5","5","5","5","4","","5","5","4","5",""
"2023/11/22 11:19:47 am GMT+8","PUTRA06","Lelaki","15 - 24 tahun","Melayu","Perak","Diploma","Ya","Anramin industri sdn bh","Syarikat Sendirian Berhad (Sdn Bhd)","Makanan & Minuman (F&B)","Perak","RM25,000 hingga RM1.25juta sebulan (RM300,000 hingga RM15juta tahunan)","MARA- Majlis Amanah Rakyat;RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah;PPPNP - Perbadanan Pembangunan Pertanian Negeri Perak","Geran bantuan;Pinjaman (modal pusingan, aset, alatan);Packaging;Business matching","RM25,000 hingga RM1.25juta sebulan (RM300,000 hingga RM15juta tahunan)","3","3","4","4","3","4","4","3","","4","4","4","4",""
"2023/11/22 11:22:49 am GMT+8","PUTRA05","Perempuan","25 - 54 tahun","Melayu","Kelantan","SPM","Ya","NH GLOBAL","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Kelantan","Kurang RM2,000 sebulan (RM24,000 tahunan)","KESEDAR - Lembaga Kemajuan Kelantan Selatan","Peralatan (in kind + latihan)","Kurang RM2,000 sebulan (RM24,000 tahunan)","4","4","4","3","2","3","4","4","","4","4","4","4",""
"2023/11/22 11:27:34 am GMT+8","PUTRA10","Perempuan","55 - 64 tahun","Melayu","Terengganu","SPM","Ya","Rama Anti Serangga","Milikan Tunggal (Enterprise)","Selain di atas","Terengganu","Kurang RM2,000 sebulan (RM24,000 tahunan)","FELCRA - Lembaga Penyatuan dan Pemulihan Tanah Persekutuan","Selain di atas","Kurang RM2,000 sebulan (RM24,000 tahunan)","4","2","2","2","2","2","2","4","Tiada","1","5","5","5","Diharapkan penganjur KKDW menyediakan ruang Dan men’s yang Selesa Dan besar kepada peniaga"
"2023/11/22 11:31:44 am GMT+8","PUTRA10","Perempuan","25 - 54 tahun","Melayu","Selangor","Diploma","Ya","MR Usratun Enterprise ","Milikan Tunggal (Enterprise)","Selain di atas","Selangor","Kurang RM2,000 sebulan (RM24,000 tahunan)","FELCRA - Lembaga Penyatuan dan Pemulihan Tanah Persekutuan","Selain di atas","Kurang RM2,000 sebulan (RM24,000 tahunan)","5","4","4","3","4","4","3","4","","5","5","5","5",""
"2023/11/22 11:37:17 am GMT+8","PUTRA05","Perempuan","25 - 54 tahun","Melayu","Johor","Diploma","Ya","Dff Industries SDN bhd","Syarikat Sendirian Berhad (Sdn Bhd)","Makanan & Minuman (F&B)","Johor","RM25,000 hingga RM1.25juta sebulan (RM300,000 hingga RM15juta tahunan)","MARA- Majlis Amanah Rakyat;KEJORA - Lembaga Kemajuan Johor Tenggara","Geran bantuan;Pinjaman (modal pusingan, aset, alatan);Pembiayaan (dana bank);Peralatan (in kind);Peralatan (in kind + latihan);Latihan sahaja;Geran penyelidikan;Perniagaan online;Promosi / pemasaran;Packaging;Business matching","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","5","5","5","5","5","5","5","5","Tiada","5","5","5","5",""
"2023/11/22 11:37:19 am GMT+8","PUTRA10","Perempuan","55 - 64 tahun","Melayu","Sarawak","Diploma","Ya","MM Crochet","Milikan Tunggal (Enterprise)","Pembuatan - Perabot, Kraftangan dll","Sarawak","Kurang RM2,000 sebulan (RM24,000 tahunan)","FELCRA - Lembaga Penyatuan dan Pemulihan Tanah Persekutuan","Geran bantuan;Promosi / pemasaran","Kurang RM2,000 sebulan (RM24,000 tahunan)","1","5","5","1","3","3","1","5","Tiada","5","5","5","5","Tiada"
"2023/11/22 11:42:09 am GMT+8","PUTRA05","Perempuan","25 - 54 tahun","Melayu","Johor","Ijazah Sarjana Muda","Ya","Haifa Rich Resources","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Johor","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","KEJORA - Lembaga Kemajuan Johor Tenggara","Geran bantuan;Peralatan (in kind);Peralatan (in kind + latihan);Promosi / pemasaran;Packaging","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","2","3","4","3","2","3","2","3","","4","3","3","3",""
"2023/11/22 11:42:19 am GMT+8","PUTRA07","Perempuan","25 - 54 tahun","Melayu","Negeri Sembilan","SPM","Ya","Cukup  teguh","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Negeri Sembilan","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Peralatan (in kind);Latihan sahaja","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","4","4","3","4","3","4","3","4","","4","3","4","3","Selalukan buat event KuD"
"2023/11/22 11:42:27 am GMT+8","PUTRA09","Perempuan","25 - 54 tahun","Melayu","Negeri Sembilan","SPM","Ya","CUKUP TEGUH ENTERPRISE ","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Negeri Sembilan","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Pembiayaan (dana bank);Peralatan (in kind);Peralatan (in kind + latihan);Latihan sahaja;Gerai / warung desa","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","4","3","5","4","3","4","3","4","","4","3","5","4","Kerapkan event KUD"
"2023/11/22 11:45:18 am GMT+8","PUTRA07","Perempuan","25 - 54 tahun","Melayu","Pulau Pinang","Diploma","Ya","Mekar kekal","Perkongsian (Enterprise)","Makanan & Minuman (F&B)","Pulau Pinang","RM25,000 hingga RM1.25juta sebulan (RM300,000 hingga RM15juta tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Peralatan (in kind);Latihan sahaja;Packaging","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","5","3","4","3","4","3","4","4","","4","4","3","4","Penambah baikan marketing"
"2023/11/22 11:45:27 am GMT+8","PUTRA09","Perempuan","25 - 54 tahun","Melayu","Pulau Pinang","Diploma","Ya","Mekar Kekal","Perkongsian (Enterprise)","Makanan & Minuman (F&B)","Pulau Pinang","RM25,000 hingga RM1.25juta sebulan (RM300,000 hingga RM15juta tahunan)","RISDA - Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah","Geran bantuan;Peralatan (in kind);Peralatan (in kind + latihan)","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","5","4","3","4","5","4","3","4","","3","4","4","4","Penambahbaikan pengiklanan dan marketing"
"2023/11/22 11:46:50 am GMT+8","PUTRA05","Lelaki","25 - 54 tahun","Melayu","Johor","Ijazah Sarjana Muda","Ya","Amsyar Brothers","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Johor","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","KEJORA - Lembaga Kemajuan Johor Tenggara","Geran bantuan","Kurang RM2,000 sebulan (RM24,000 tahunan)","1","4","4","4","2","4","2","4","","4","4","4","4",""
"2023/11/22 11:50:43 am GMT+8","PUTRA10","Lelaki","55 - 64 tahun","Melayu","Kedah","Sijil","Ya","Arrfna Enterprise ","Syarikat Sendirian Berhad (Sdn Bhd)","Pembuatan - Perabot, Kraftangan dll","Kedah","Kurang RM2,000 sebulan (RM24,000 tahunan)","FELCRA - Lembaga Penyatuan dan Pemulihan Tanah Persekutuan","Latihan sahaja","Kurang RM2,000 sebulan (RM24,000 tahunan)","5","3","5","2","5","5","5","5","Agensi kerajaan seharusnya Lebih pantau terhadap iks pedalaman","5","5","5","5","Tempat perniagaan Yang disediakan kurang selesa Dan terhad."
"2023/11/22 11:52:26 am GMT+8","PUTRA05","Perempuan","25 - 54 tahun","Melayu","Johor","Diploma","Ya","Lizaura global industries","Milikan Tunggal (Enterprise)","Makanan & Minuman (F&B)","Johor","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","KEJORA - Lembaga Kemajuan Johor Tenggara","Peralatan (in kind + latihan)","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","4","4","4","4","4","4","4","4","","4","4","4","4","Fokus usahawan baru luar bandar yang sedang berkembang"
"2023/11/22 11:57:41 am GMT+8","PUTRA06","Perempuan","15 - 24 tahun","Melayu","Selangor","Ijazah Sarjana Muda","Ya","Avergold Holdings Sdn Bhd","Syarikat Sendirian Berhad (Sdn Bhd)","Selain di atas","Selangor","RM12,500 hingga RM25,000 sebulan (RM150,000 hingga RM300,000 tahunan)","MARA- Majlis Amanah Rakyat","","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","4","4","3","4","4","3","3","4","","5","5","5","5",""
"2023/11/22 11:57:43 am GMT+8","PUTRA05","Perempuan","25 - 54 tahun","Melayu","Kedah","STPM","Ya","NHH Golden Resources","Perkongsian (Enterprise)","Makanan & Minuman (F&B)","Kedah","RM5,000 hingga RM12,500 sebulan (RM60,000 hingga RM150,000 tahunan)","KEDA - Lembaga Kemajuah Wilayah Kedah","Peralatan (in kind + latihan)","Kurang RM2,000 sebulan (RM24,000 tahunan)","4","4","4","4","4","4","4","4","Tiada","4","4","4","4","Tiada"
"2023/11/22 11:59:40 am GMT+8","PUTRA10","Perempuan","55 - 64 tahun","Melayu","Kedah","SPM","Ya","Cagayan Puncak Enterprise","Perkongsian (Enterprise)","Pembuatan - Perabot, Kraftangan dll","Kedah","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","MARA- Majlis Amanah Rakyat;FELCRA - Lembaga Penyatuan dan Pemulihan Tanah Persekutuan","Geran bantuan","RM2,000 hingga RM5,000 sebulan (RM24,000 hingga RM60,000 tahunan)","3","3","4","4","4","4","4","4","Kurang pendedahan","1","1","1","1","No komen"
